meeting,chosen_folder,url,status,http_status,saved_path,bytes
90,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_90e/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_90e/Docs/TDoc_List_Meeting_RAN%2390-e.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#90-e.xlsx,615266
91,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_91e/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_91e/Docs/TDoc_List_Meeting_RAN%2391-e.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#91-e.xlsx,686096
92,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_92e/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_92e/Docs/TDoc_List_Meeting_RAN%2392-e.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#92-e.xlsx,642113
93,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_93e/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_93e/Docs/TDoc_List_Meeting_RAN%2393-e.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#93-e.xlsx,611906
94,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_94e/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_94e/Docs/TDoc_List_Meeting_RAN%2394-e.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#94-e.xlsx,602254
95,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_95e/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_95e/Docs/TDoc_List_Meeting_RAN%2395-e.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#95-e.xlsx,673044
96,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_96/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_96/Docs/TDoc_List_Meeting_RAN%2396.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#96.xlsx,607977
97,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_97e/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_97e/Docs/TDoc_List_Meeting_RAN%2397-e.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#97-e.xlsx,388273
98,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_98e/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_98e/Docs/TDoc_List_Meeting_RAN%2398-e.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#98-e.xlsx,420285
99,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_99/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_99/Docs/TDoc_List_Meeting_RAN%2399.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#99.xlsx,424178
100,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_100/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_100/Docs/TDoc_List_Meeting_RAN%23100.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#100.xlsx,376831
101,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_101/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_101/Docs/TDoc_List_Meeting_RAN%23101.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#101.xlsx,487348
102,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_102/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_102/Docs/TDoc_List_Meeting_RAN%23102.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#102.xlsx,559456
103,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_103/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_103/Docs/TDoc_List_Meeting_RAN%23103.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#103.xlsx,464489
104,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_104/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_104/Docs/TDoc_List_Meeting_RAN%23104.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#104.xlsx,443950
105,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_105/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_105/Docs/TDoc_List_Meeting_RAN%23105.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#105.xlsx,390812
106,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_106/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_106/Docs/TDoc_List_Meeting_RAN%23106.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#106.xlsx,431757
107,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_107/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_107/Docs/TDoc_List_Meeting_RAN%23107.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#107.xlsx,373244
108,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_108/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_108/Docs/TDoc_List_Meeting_RAN%23108.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#108.xlsx,438780
109,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_109/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_109/Docs/TDoc_List_Meeting_RAN%23109.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#109.xlsx,457559
110,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_110/Docs/,https://www.3gpp.org/ftp/tsg_ran/TSG_RAN/TSGR_110/Docs/TDoc_List_Meeting_RAN%23110.xlsx,OK,200,out\raw_90_110\TDoc_List_Meeting_RAN#110.xlsx,409904
